xp,xv,angle,w
2.385470274515902211e+00,8.065893461692809074e-01,-2.226226533019688425e-01,1.673564946882686102e-02
2.393391605770777808e+00,7.777115071271025748e-01,-2.224225675332474061e-01,2.325115575980361837e-02
2.401025203067385316e+00,7.490431751343502587e-01,-2.221582323142846649e-01,2.958602315880187045e-02
2.408373179787639540e+00,7.205879821735918789e-01,-2.218314395486071511e-01,3.574314620890495925e-02
2.415437684731288837e+00,6.923493805263419842e-01,-2.214439522722383702e-01,4.172540369006590144e-02
2.422220900339669747e+00,6.643306469109743206e-01,-2.209975048164539713e-01,4.753565761395738692e-02
2.428725040960398651e+00,6.365348865332390860e-01,-2.204938029800208865e-01,5.317675233027059634e-02
2.434952351152160688e+00,6.089650370567036841e-01,-2.199345242098662001e-01,5.865151373256447670e-02
2.440905104028832096e+00,5.816238724996762866e-01,-2.193213177892356092e-01,6.396274855276611049e-02
2.446585599642227660e+00,5.545140070644658525e-01,-2.186558050325054514e-01,6.911324373435936974e-02
2.451996163402824891e+00,5.276378989041746737e-01,-2.179395794859077251e-01,7.410576587517611613e-02
2.457139144537863640e+00,5.009978538316088859e-01,-2.171742071335137636e-01,7.894306073152512759e-02
2.462016914586260263e+00,4.745960289743285099e-01,-2.163612266079016633e-01,8.362785277616009705e-02
2.466631865929820311e+00,4.484344363793337229e-01,-2.155021494050032849e-01,8.816284480330435769e-02
2.470986410360257679e+00,4.225149465704041707e-01,-2.145984601026915128e-01,9.255071757461648396e-02
2.475082977681562380e+00,3.968392920606633734e-01,-2.136516165827261893e-01,9.679412950060219123e-02
2.478924014347276827e+00,3.714090708225341042e-01,-2.126630502557295410e-01,1.008957163525550788e-01
2.482511982132268979e+00,3.462257497168779175e-01,-2.116341662889080211e-01,1.048580910006443462e-01
2.485849356838598201e+00,3.212906678827736062e-01,-2.105663438362787576e-01,1.086838431742639527e-01
2.488938627035085727e+00,2.966050400890807293e-01,-2.094609362711958578e-01,1.123755392412166265e-01
2.491782292830215351e+00,2.721699600486563453e-01,-2.083192714210033158e-01,1.159357220027298907e-01
2.494382864677990863e+00,2.479864036958420170e-01,-2.071426518036695585e-01,1.193669105016912230e-01
2.496742862216386083e+00,2.240552324276138263e-01,-2.059323548662831682e-01,1.226715998418483888e-01
2.498864813138027774e+00,2.003771963085884122e-01,-2.046896332253099193e-01,1.258522610160493771e-01
2.500751252092745069e+00,1.769529372399015754e-01,-2.034157149085290273e-01,1.289113407418967239e-01
2.502404719621629248e+00,1.537829920918212523e-01,-2.021118035985816352e-01,1.318512613034652503e-01
2.503827761122235707e+00,1.308677957998221064e-01,-2.007790788780764168e-01,1.346744203979803045e-01
2.505022925844562209e+00,1.082076844237342544e-01,-1.994186964762073022e-01,1.373831909865791401e-01
2.505992765917433029e+00,8.580289816948084847e-02,-1.980317885168462466e-01,1.399799211484804018e-01
2.506739835404910632e+00,6.365358437283875903e-02,-1.966194637680790946e-01,1.424669339380690292e-01
2.507266689392352088e+00,4.175980044459104423e-02,-1.951828078931577837e-01,1.448465272445658703e-01
2.507575883101721637e+00,2.012151677638877867e-02,-1.937228837028435180e-01,1.471209736540951829e-01
2.507669971035761947e+00,-1.261380393397983773e-03,-1.922407314091176544e-01,1.492925203140905432e-01
2.507551506150622167e+00,-2.238908615458633927e-02,-1.907373688802366796e-01,1.513633888000897043e-01
2.507223039056527103e+00,-4.326187414160451855e-02,-1.892137918971067423e-01,1.533357749850655372e-01
2.506687117246074958e+00,-6.388009379219924955e-02,-1.876709744109512079e-01,1.552118489115215938e-01
2.505946284349729769e+00,-8.424416764918706002e-02,-1.861098688022422287e-01,1.569937546666508310e-01
2.505003079418081757e+00,-1.043545887059974808e-01,-1.845314061408640516e-01,1.586836102609123222e-01
2.503860036230426189e+00,-1.242119177967349886e-01,-1.829364964474716471e-01,1.602835075104281082e-01
2.502519682629220199e+00,-1.438167810314599504e-01,-1.813260289560045535e-01,1.617955119236380024e-01
2.500984539879953950e+00,-1.631698672773549963e-01,-1.797008723773110273e-01,1.632216625926775910e-01
2.499257122055981828e+00,-1.822719256864053505e-01,-1.780618751638325670e-01,1.645639720899630398e-01
2.497339935447838499e+00,-2.011237632701780298e-01,-1.764098657752947441e-01,1.658244263704776456e-01
2.495235477996572193e+00,-2.197262425222386850e-01,-1.747456529453443874e-01,1.670049846802588722e-01
2.492946238750611165e+00,-2.380802790886937803e-01,-1.730700259490690063e-01,1.681075794715825855e-01
2.490474697345684163e+00,-2.561868394872934274e-01,-1.713837548713286196e-01,1.691341163253337054e-01
2.487823323507304174e+00,-2.740469388754746549e-01,-1.696875908758261331e-01,1.700864738810391186e-01
2.484994576575326519e+00,-2.916616388676682159e-01,-1.679822664748371330e-01,1.709665037750227878e-01
2.481990905050086571e+00,-3.090320454021335261e-01,-1.662684957995155810e-01,1.717760305871209037e-01
2.478814746159619276e+00,-3.261593066575275146e-01,-1.645469748706879232e-01,1.725168517963718562e-01
2.475468525447464430e+00,-3.430446110193540177e-01,-1.628183818700437713e-01,1.731907377460681907e-01
2.471954656380559001e+00,-3.596891850963797599e-01,-1.610833774116277040e-01,1.737994316185286769e-01
2.468275539976712896e+00,-3.760942917870454538e-01,-1.593426048135334061e-01,1.743446494199175634e-01
2.464433564451172121e+00,-3.922612283958398782e-01,-1.575966903696982002e-01,1.748280799754048376e-01
2.460431104881769304e+00,-4.081913247995485605e-01,-1.558462436216930536e-01,1.752513849349281727e-01
2.456270522892161967e+00,-4.238859416632313470e-01,-1.540918576304010634e-01,1.756161987897819632e-01
2.451954166352662501e+00,-4.393464687057272444e-01,-1.523341092474751468e-01,1.759241289002236863e-01
2.447484369098168688e+00,-4.545743230144321245e-01,-1.505735593864638566e-01,1.761767555342527436e-01
2.442863450662699165e+00,-4.695709474090417612e-01,-1.488107532934930533e-01,1.763756319176811305e-01
2.438093716030049762e+00,-4.843378088539027071e-01,-1.470462208173900498e-01,1.765222842955804228e-01
2.433177455400083122e+00,-4.988763969185655012e-01,-1.452804766791362390e-01,1.766182120051547899e-01
2.428116943970175967e+00,-5.131882222860876253e-01,-1.435140207405335988e-01,1.766648875600558000e-01
2.422914441731345292e+00,-5.272748153085904388e-01,-1.417473382719711961e-01,1.766637567461217806e-01
2.417572193278583637e+00,-5.411377246095324667e-01,-1.399809002191770291e-01,1.766162387284921642e-01
2.412092427634942915e+00,-5.547785157321210026e-01,-1.382151634688424668e-01,1.765237261700164928e-01
2.406477358088905838e+00,-5.681987698332483516e-01,-1.364505711130063748e-01,1.763875853608479205e-01
2.400729182044590182e+00,-5.814000824223032327e-01,-1.346875527120880711e-01,1.762091563590825749e-01
2.394850080884347143e+00,-5.943840621441767169e-01,-1.329265245564592579e-01,1.759897531422791317e-01
2.388842219843307912e+00,-6.071523296057502739e-01,-1.311678899264471787e-01,1.757306637696678386e-01
2.382707747895454808e+00,-6.197065162451289577e-01,-1.294120393506631161e-01,1.754331505548334669e-01
2.376448797650786204e+00,-6.320482632428550129e-01,-1.276593508625527285e-01,1.750984502486352123e-01
2.370067485263164908e+00,-6.441792204743163053e-01,-1.259101902550669450e-01,1.747277742321048100e-01
2.363565910348438770e+00,-6.561010455025427790e-01,-1.241649113333552351e-01,1.743223087190459153e-01
2.356946155912435170e+00,-6.678154026105662666e-01,-1.224238561653855917e-01,1.738832149680391848e-01
2.350210288288437699e+00,-6.793239618725032125e-01,-1.206873553303987046e-01,1.734116295035423305e-01
2.343360357083760892e+00,-6.906283982625065487e-01,-1.189557281651069665e-01,1.729086643457598271e-01
2.336398395135052208e+00,-7.017303908007206381e-01,-1.172292830075524622e-01,1.723754072489438460e-01
2.329326418471949101e+00,-7.126316217353643179e-01,-1.155083174385411054e-01,1.718129219477771419e-01
2.322146426288743015e+00,-7.233337757600593054e-01,-1.137931185205741103e-01,1.712222484114787335e-01
2.314860400923693273e+00,-7.338385392655161210e-01,-1.120839630342013032e-01,1.706044031052648124e-01
2.307470307845659541e+00,-7.441475996246841307e-01,-1.103811177117245967e-01,1.699603792587908446e-01
2.299978095647716714e+00,-7.542626445104734234e-01,-1.086848394681837193e-01,1.692911471411950863e-01
2.292385696047434251e+00,-7.641853612451519062e-01,-1.069953756295601160e-01,1.685976543423595986e-01
2.284695023893507315e+00,-7.739174361805253310e-01,-1.053129641581387471e-01,1.678808260600023750e-01
2.276907977178435516e+00,-7.834605541080096325e-01,-1.036378338749714273e-01,1.671415653922121991e-01
2.269026437056955281e+00,-7.928163976977072869e-01,-1.019702046793892203e-01,1.663807536350375427e-01
2.261052267869939403e+00,-8.019866469656082852e-01,-1.003102877655153019e-01,1.655992505847415364e-01
2.252987317173489767e+00,-8.109729787680395319e-01,-9.865828583573353627e-02,1.647978948443367397e-01
2.244833415772950147e+00,-8.197770663224962506e-01,-9.701439331107195030e-02,1.639775041340158779e-01
2.236592377761583705e+00,-8.284005787539976406e-01,-9.537879653846392802e-02,1.631388756050985711e-01
2.228266000563663862e+00,-8.368451806661177939e-01,-9.375167399485399844e-02,1.622827861571186081e-01
2.219856064981732491e+00,-8.451125317358553213e-01,-9.213319648811856000e-02,1.614099927576809757e-01
2.211364335247796298e+00,-8.532042863315159043e-01,-9.052352735477571521e-02,1.605212327647246862e-01
2.202792559078230461e+00,-8.611220931527938660e-01,-8.892282265446192768e-02,1.596172242508333561e-01
2.194142467732175916e+00,-8.688675948922540693e-01,-8.733123136115682195e-02,1.586986663292430932e-01
2.185415776073216687e+00,-8.764424279174264365e-01,-8.574889555114081907e-02,1.577662394812051339e-01
2.176614182634136085e+00,-8.838482219727425981e-01,-8.417595058767381178e-02,1.568206058843687745e-01
2.167739369684558604e+00,-8.910865999005566085e-01,-8.261252530238620551e-02,1.558624097418590815e-01
2.158793003301289648e+00,-8.981591773805092105e-01,-8.105874217337709353e-02,1.548922776117328814e-01
2.149776733441171039e+00,-9.050675626865091195e-01,-7.951471750001724847e-02,1.539108187365063607e-01
2.140692194016283079e+00,-9.118133564606217822e-01,-7.798056157445767966e-02,1.529186253724568734e-01
2.131541002971325760e+00,-9.183981515031723886e-01,-7.645637884984755883e-02,1.519162731184124093e-01
2.122324762363020589e+00,-9.248235325783863425e-01,-7.494226810526793958e-02,1.509043212437514436e-01
2.113045058441381130e+00,-9.310910762349068337e-01,-7.343832260739052709e-02,1.498833130153474635e-01
2.103703461732707058e+00,-9.372023506405471327e-01,-7.194463026887339130e-02,1.488537760232020724e-01
2.094301527124160955e+00,-9.431589154306507794e-01,-7.046127380350790392e-02,1.478162225045216993e-01
2.084840793949796822e+00,-9.489623215694510394e-01,-6.898833087813364962e-02,1.467711496660036863e-01
2.075322786077913761e+00,-9.546141112238376580e-01,-6.752587426134042115e-02,1.457190400041080136e-01
2.065749011999609586e+00,-9.601158176489563711e-01,-6.607397196897840663e-02,1.446603616231018630e-01
